"Reporting_Year / Année_Déclaration","NPRI_ID / No_INRP","Company_Name / Dénomination_sociale_de_l'entreprise","Facility_Name / Installation","Address / Adresse","City / Ville","Province / Province","Latitude / Latitude","Longitude / Longitude","Datum / Datum","NAICS 4 Code / SCIAN 4 Chiffre","NAICS 4 Sector Name (English) / Nom de secteur SCIAN 4 (Anglais)","NAICS 4 Sector Name (French) / Nom de secteur SCIAN 4 (Français)","NAICS 6 Code / SCIAN 6 Chiffre","NAICS 6 Sector Name (English) / Nom de secteur SCIAN 6 (Anglais)","NAICS 6 Sector Name (French)","Key Industrial Sector (English)","Secteur_Industriel_Clé (French)","Units / Unités","TOTAL_ALL_RELEASES / Rejet_Total_Tout","Symbol / Symbole"
2022,1,"Alberta-Pacific Forest Industries Inc.","Alberta-Pacific Forest Industries Inc.","","County of Athabasca","AB","54.923116","-112.861867",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",181.24,1
2022,99,"Les Mines Agnico Eagle Limitée","Division Laronde","10200 route de Preissac","Rouyn-Noranda","QC","48.25072","-78.44184",1984.00,2122,"Metal ore mining","Extraction de minerais métalliques",212220,"Gold and silver ore mining","Extraction de minerais d'or et d'argent","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",243.00,1
2022,201,"City of Peterborough","PTBO WASTE WATER TREATMENT PLANT","425 Kennedy Road","Peterborough","ON","44.2754","-78.3165",1983.00,2213,"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",221320,"Sewage treatment facilities","Installations d'épuration des eaux usées","Water and Wastewater Systems","Systèmes d'eau et des eaux usées
","Tonnes",281.60,1
2022,205,"City of Thunder Bay","Water Pollution Control Plant","901 Atlantic Avenue","Thunder Bay","ON","48.3989","-89.225",1983.00,2213,"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",221320,"Sewage treatment facilities","Installations d'épuration des eaux usées","Water and Wastewater Systems","Systèmes d'eau et des eaux usées
","Tonnes",86.00,1
2022,222,"Cytec Canada Inc.","Welland Plant","9061  Garner Road","Niagara Falls","ON","43.04687","-79.15261",1984.00,3259,"Other chemical product manufacturing","Fabrication d'autres produits chimiques",325999,"All other miscellaneous chemical product manufacturing","Fabrication de tous les autres produits chimiques divers","Chemicals","Produits chimiques
","Tonnes",14.71,1
2022,223,"Mercer Peace River Pulp Ltd.","Mercer Peace River","11/13/24-085-21-W5","MD of Northern Lights","AB","56.37297","-117.18442",1984.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",31.33,1
2022,267,"Capital Power Generation Services Inc.","Genesee Thermal Generating Station","0 50444 Highway 770","Warburg","AB","53.344","-114.305",1983.00,2211,"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",221112,"Fossil-fuel electric power generation","Production d'électricité à partir de combustibles fossiles","Electricity","Électricité
","Tonnes",0.35,1
2022,279,"Kraft Nordic, s.e.c.","Kraft Nordic, s.e.c. - Usine de pâtes kraft de Lebel-sur-Quévillon","30 du Moulin Road","Lebel-sur-Quévillon","QC","49.0254","-76.9538",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",2.53,1
2022,403,"Cenovus Energy Inc.","Lloydminster Refinery","5650 52nd Street","Lloydminster","AB","53.2885","-110.0183",1983.00,3241,"Petroleum and coal product manufacturing","Fabrication de produits du pétrole et du charbon",324121,"Asphalt paving mixture and block manufacturing","Fabrication de mélanges d'asphaltage et de pavés d'asphalte","Petroleum and Coal Product Refining and Mfg.","Fabrication et raffinage des produits du pétrole et du charbon
","Tonnes",7.66,1
2022,428,"Imperial Oil Resources N.W.T. Limited","Norman Wells Central Processing Facility","General Delivery   tonnes  1001 Canol Drive Drive"," Norman Wells","NT","65.2873","-126.8812",1983.00,2111,"Oil and gas extraction","Extraction de pétrole et de gaz",211110,"Oil and gas extraction (except oil sands)","Extraction de pétrole et de gaz (à l'exception des sables bitumineux)","Conventional Oil and Gas extraction","Extraction de pétrole par des méthodes classiques
","Tonnes",2.0e-03,1
