XCoord;YCoord;OBJECTID;SCAT_CLASS_EN;SCAT_CLASS_FR;PROVINCEEXTENT;SHAPE_LENGTH;CREATEDBY
-14695705.01;6991253.679;1;Bedrock Cliff/Vertical;Falaise rocheuse;BC;2672.559685;ECCC
-14695095.17;6993115.007;2;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;402.89685;ECCC
-14717197.05;7010076.738;3;Boulder Beach or Bank;Plage ou berge de blocs;BC;322.29981;ECCC
-14716091.77;7010359.563;4;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;331.951218;ECCC
-14707199.78;7011669.64;5;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;433.613447;ECCC
-14707190.75;7011841.357;6;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;278.909064;ECCC
-14706871.36;7011974.994;7;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;344.22925;ECCC
-14700626.25;7013406.563;8;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;264.206634;ECCC
-14701138.22;7013392.892;9;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;352.856467;ECCC
-14701436.15;7013395.157;10;Bedrock Cliff/Vertical;Falaise rocheuse;BC;851.520234;ECCC
-14700120.4;7014175.202;11;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;485.83655;ECCC
-14703709.59;7014229.756;12;Bedrock Platform;Plate-forme rocheuse;BC;254.627874;ECCC
-14704292.21;7015248.321;13;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;312.668585;ECCC
-14704655.06;7016048.3;14;Bedrock Platform;Plate-forme rocheuse;BC;659.16542;ECCC
-14705153.59;7016837.737;15;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;683.440348;ECCC
-14705593.53;7016422.767;16;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;2299.916723;ECCC
-14708591.29;7018044.37;17;Bedrock Platform;Plate-forme rocheuse;BC;270.737042;ECCC
-14695938.05;7019576.466;18;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;378.582116;ECCC
-14722447.36;7018656.762;19;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;356.326002;ECCC
-14695779.09;7019845.543;20;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;490.23219;ECCC
-14696418.15;7019771.631;21;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;363.481404;ECCC
-14696565.56;7019846.506;22;Bedrock Cliff/Vertical;Falaise rocheuse;BC;660.782707;ECCC
-14695319.53;7019929.161;23;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;257.85975;ECCC
-14695628.14;7019933.726;24;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;277.832325;ECCC
-14696116.52;7020002.263;25;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;393.059494;ECCC
-14695617.83;7020045.944;26;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;303.731034;ECCC
-14721756.18;7018975.812;27;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;286.871723;ECCC
-14696017.65;7020131.333;28;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;364.199025;ECCC
-14696690.41;7020089.856;29;Bedrock Cliff/Vertical;Falaise rocheuse;BC;713.789701;ECCC
-14721219.09;7019047.683;30;Bedrock Cliff/Vertical;Falaise rocheuse;BC;415.909321;ECCC
-14723203.24;7019209.284;31;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;433.84829;ECCC
-14695716.08;7020384.842;32;Bedrock Cliff/Vertical;Falaise rocheuse;BC;387.14301;ECCC
-14721027.73;7019376.193;33;Bedrock Cliff/Vertical;Falaise rocheuse;BC;452.48859;ECCC
-14721083.69;7020094.78;34;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;366.10193;ECCC
-14695988.67;7020371.476;35;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;1341.278936;ECCC
-14718161.69;7021806.196;36;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;646.503554;ECCC
-14697335.94;7023271.096;37;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;263.402364;ECCC
-14720888.6;7022893.114;38;Bedrock Cliff/Vertical;Falaise rocheuse;BC;263.156017;ECCC
-14720514.92;7023533.693;39;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;696.622133;ECCC
-14707628.54;7024321.9;40;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;549.162804;ECCC
-14720132.25;7023762.652;41;Bedrock Cliff/Vertical;Falaise rocheuse;BC;370.775227;ECCC
-14706407.41;7024531.5;42;Boulder Beach or Bank;Plage ou berge de blocs;BC;735.967415;ECCC
-14719445.48;7024155.29;43;Bedrock Cliff/Vertical;Falaise rocheuse;BC;353.779538;ECCC
-14719615.65;7024443.093;44;Bedrock Cliff/Vertical;Falaise rocheuse;BC;554.978373;ECCC
-14704478.8;7025348.782;45;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;1271.30442;ECCC
-14704189.42;7025652.478;46;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;483.493779;ECCC
-14718993.71;7024988.687;47;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;571.475235;ECCC
-14704402;7025794.339;48;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;479.02292;ECCC
-14711467.22;7025657.146;49;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;238.082175;ECCC
-14709090.29;7027629.488;50;Bedrock Platform;Plate-forme rocheuse;BC;392.184319;ECCC
-14708629.15;7027954.615;51;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;1138.089165;ECCC
-14703637.06;7029428.232;52;Bedrock Platform;Plate-forme rocheuse;BC;263.664261;ECCC
-14704305.75;7029508.962;53;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;595.729666;ECCC
-14703840.24;7029655.39;54;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;513.254472;ECCC
-14701786.56;7029754.484;55;Bedrock Platform;Plate-forme rocheuse;BC;293.007;ECCC
-14704320.82;7029878.909;56;Bedrock Platform;Plate-forme rocheuse;BC;587.951614;ECCC
-14767971.77;7165098.6;57;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;353.885145;ECCC
-14768098.49;7165872.063;58;Bedrock Platform;Plate-forme rocheuse;BC;322.065865;ECCC
-14768489.96;7165874.285;59;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;685.292141;ECCC
-14760064.19;7166293.563;60;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;681.385777;ECCC
-14760461.23;7166988.171;61;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;1288.707225;ECCC
-14712551.44;7170798.377;62;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;1729.24449;ECCC
-14716746.87;7174671.373;63;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;481.923075;ECCC
-14722107.74;7185324.809;64;Bedrock Platform;Plate-forme rocheuse;BC;395.511379;ECCC
-14746692.78;7184186.967;65;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;401.467454;ECCC
