Station ID,Data Source,Station Name,Latitude,Longitude,Elevation(m),Station history
ALE-MT01,Alberta Environment,DESERT MOUNTAIN,48.41666667,-113.95,1707,DESERT MOUNTAIN 48 25 113 57 1707 19370302 20030401 296
ALE-MT02,Alberta Environment,EMERY CREEK,48.43333333,-113.9333333,1326,EMERY CREEK 48 26 113 56 1326 19751229 20030401 101
ALE-MT03,Alberta Environment,EMERY CREEK PILLOW,48.43333333,-113.9333333,1326,EMERY CREEK PILLOW 48 26 113 56 1326 19370301 20030601 330
ALE-MT04,Alberta Environment,GRAVE CREEK,48.91666667,-114.7666667,1311,GRAVE CREEK 48 55 114 46 1311 19610401 20030331 153
ALE-MT05,Alberta Environment,GRAVE CREEK PILLOW,48.91666667,-114.7666667,1311,GRAVE CREEK PILLOW 48 55 114 46 1311 19610101 20030601 243
ALE-MT06,Alberta Environment,HELL ROARING DIVIDE,48.5,-114.35,1759,HELL ROARING DIVIDE 48 30 114 21 1759 19420328 20030527 288
ALE-05AD803,Alberta Environment,AKAMINA,49.03333333,-114.05,1800,AKAMINA 49 2 114 3 1800 19800131 20030529 140
ALE-05AA803,Alberta Environment,ALLISON PASS,49.73333333,-114.6,1980,ALLISON PASS 49 44 114 36 1980 19630328 20030505 107
ALE-07OA801,Alberta Environment,ASSUMPTION,58.6,-118.4666667,370,ASSUMPTION 58 36 118 28 370 19860304 20030401 37
ALE-07BC802,Alberta Environment,BARRHEAD NORTH,54.26666667,-114.35,670,BARRHEAD NORTH 54 16 114 21 670 19730315 20030327 72
ALE-07BB808,Alberta Environment,BARRHEAD WEST,54.18333333,-114.8,670,BARRHEAD WEST 54 11 114 48 670 19730314 20030327 73
ALE-05EC801,Alberta Environment,BELLIS,54.11666667,-112.0833333,670,BELLIS 54 7 112 5 670 19730319 20030403 74
ALE-05CC801,Alberta Environment,BENTLEY,52.48333333,-114.0666667,910,BENTLEY 52 29 114 4 910 19730308 20030328 72
ALE-07GE802,Alberta Environment,BEZANSON,55.23333333,-118.5166667,690,BEZANSON 55 14 118 31 690 19730315 20030328 73
ALE-05FA803,Alberta Environment,BIGSTONE,53.03333333,-113.85,850,BIGSTONE 53 2 113 51 850 19870304 20030328 35
ALE-06AC801,Alberta Environment,BONNYVILLE,54.5,-110.6666667,540,BONNYVILLE 54 30 110 40 540 19730320 20030327 71
